,,,C0010
32,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,154 928
33,"Ubezpieczenia na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,0
34,Depozyty u cedentów,R0350,0
35,Należno(cid:286)ci z tytułu ubezpieczeń i od po(cid:286)redników ubezpieczeniowych,R0360,45 634
36,Należno(cid:286)ci z tytułu reasekuracji biernej,R0370,359 765
37,"Pozostałe należno(cid:286)ci (handlowe, inne niż z działalno(cid:286)ci ubezpieczeniowej)",R0380,6 072
38,Akcje własne (posiadane bezpo(cid:286)rednio),R0390,0
39,"Kwoty należne, dotyczące pozycji (cid:286)rodków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone.",R0400,0
40,(cid:285)rodki pieniężne i ekwiwalenty (cid:286)rodków pieniężnych,R0410,6 872
41,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,4 163
42,Aktywa ogółem,R0500,4 418 869
43,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,2 434 006
44,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,2 388 099
45,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
46,Najlepsze oszacowanie,R0540,2 229 766
47,Margines ryzyka,R0550,158 332
48,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,45 908
49,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
50,Najlepsze oszacowanie,R0580,43 436
51,Margines ryzyka,R0590,2 472
52,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0600,446 639
53,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
54,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
55,Najlepsze oszacowanie,R0630,0
56,Margines ryzyka,R0640,0
57,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0650,446 639
58,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
59,Najlepsze oszacowanie,R0670,431 203
60,Margines ryzyka,R0680,15 436
61,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,0
62,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
63,Najlepsze oszacowanie,R0710,0
64,Margines ryzyka,R0720,0
65,Zobowiązania warunkowe,R0740,0
66,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,27 065
67,Zobowiązania z tytułu (cid:286)wiadczeń emerytalnych dla pracowników,R0760,1 268
68,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
69,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,29 551
70,Instrumenty pochodne,R0790,2 436
71,Zobowiązania wobec instytucji kredytowych,R0800,0
72,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,3 541
73,Zobowiązania z tytułu ubezpieczeń i wobec po(cid:286)redników ubezpieczeniowych,R0820,141 694
74,Zobowiązania z tytułu reasekuracji biernej,R0830,33 835
75,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalno(cid:286)ci ubezpieczeniowej)",R0840,20 394
76,Zobowiązania podporządkowane,R0850,101 254
77,Zobowiązania podporządkowane nieuwzględnione w podstawowych (cid:286)rodkach własnych,R0860,1 213
78,Zobowiązania podporządkowane uwzględnione w podstawowych (cid:286)rodkach własnych,R0870,100 042
79,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,64 592
80,Zobowiązania ogółem,R0900,3 306 274
81,Nadwyżka aktywów nad zobowiązaniami,R1000,1 112 595
